,conversation_id,elo_rating,comparisons_count,updated_condition,overall_empathy,conversation_number,condition,elo_rank,starter
0,20250326051016507995,1977.289374707486,58,control,9,1,CoachPlusInfluencer,1,job loss
1,20250325175759754898,1964.3156258251768,59,control,10,1,CoachPlusInfluencer,2,job loss
2,20250325112059972377,1926.3992132430255,61,treatment,12,2,AICoach,3,job loss
3,20250326073059477757,1918.2819250792252,59,control,10,1,Influencer,4,job loss
4,20250326081300635230,1913.8262867409849,58,control,10,1,AICoach,5,job loss
5,20250325205410678290,1908.1857289925167,60,treatment,11,2,CoachPlusInfluencer,6,job loss
6,20250326123136731212,1907.2876888400865,60,control,11,1,Influencer,7,job loss
7,20250325184527353861,1907.1478987827368,59,treatment,9,2,AICoach,8,job loss
8,20250326042015976969,1904.5185055191307,59,treatment,9,3,CoachPlusInfluencer,9,job loss
9,20250403101731600337,1888.560845837386,59,control,8,1,Control,10,job loss
10,20250325175630698285,1887.4222342404669,60,treatment,7,3,AICoach,11,job loss
11,20250326063212648244,1884.4277290026507,58,control,10,1,AICoach,12,job loss
12,20250325195108871538,1881.4672789472588,59,treatment,9,2,AICoach,13,job loss
13,20250329221718423257,1872.3130819269793,57,treatment,6,3,CoachPlusInfluencer,14,job loss
14,20250326062603403708,1870.4095854289217,57,control,10,1,AICoach,15,job loss
15,20250325225511740464,1869.9074022996424,57,treatment,11,3,CoachPlusInfluencer,16,job loss
16,20250326124939117147,1869.0540415953392,59,control,7,1,CoachPlusInfluencer,17,job loss
17,20250325205211445983,1867.9835060611877,61,treatment,9,3,CoachPlusInfluencer,18,job loss
18,20250326095659544161,1867.7288179870711,61,treatment,9,2,AICoach,19,job loss
19,20250326011715060716,1864.2500753602153,62,treatment,5,3,CoachPlusInfluencer,20,job loss
20,20250325205709460569,1856.3606599230384,57,treatment,6,3,CoachPlusInfluencer,21,job loss
21,20250325182456611223,1842.729858871232,58,treatment,4,2,AICoach,22,job loss
22,20250326053755538197,1831.274328327461,61,control,10,1,AICoach,23,job loss
23,20250326000438524188,1826.820618621223,58,treatment,11,3,AICoach,24,job loss
24,20250325181030391539,1826.2912207456204,57,treatment,9,2,CoachPlusInfluencer,25,job loss
25,20250326115926014298,1826.0994685218493,59,control,9,1,Control,26,job loss
26,20250326152559795189,1813.454089476733,58,treatment,5,3,CoachPlusInfluencer,27,job loss
27,20250326042700322644,1812.2682841929516,57,treatment,9,2,CoachPlusInfluencer,28,job loss
28,20250326004929687320,1809.672099523548,58,treatment,5,2,CoachPlusInfluencer,29,job loss
29,20250326163057351578,1807.5885466896584,60,treatment,8,3,AICoach,30,job loss
30,20250326024253902955,1805.7171068950772,58,control,8,1,CoachPlusInfluencer,31,job loss
31,20250325214406631527,1804.175771645409,58,treatment,6,2,AICoach,32,job loss
32,20250326050751393443,1800.7187547916767,59,control,6,1,AICoach,33,job loss
33,20250325213617717938,1798.3261954553575,58,treatment,5,2,CoachPlusInfluencer,34,job loss
34,20250325162537903663,1795.991702065548,60,treatment,8,2,CoachPlusInfluencer,35,job loss
35,20250326075202636424,1791.3767515444536,60,control,4,1,Influencer,36,job loss
36,20250326100138513587,1787.061510165598,58,control,6,1,CoachPlusInfluencer,37,job loss
